EmpCode,Category,Process,Month,Cost
ATS83339,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS96622,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS97870,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS96623,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS94998,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS94259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS79596,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS95536,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS97866,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS95534,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS97869,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS77912,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS95542,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS81898,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS94264,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS97865,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS70183,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS80030,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS84068,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS97868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS95417,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS79978,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS96630,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS94257,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS84077,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS96629,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS94266,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99260,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99262,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99258,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99263,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99255,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS99256,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Sep,35175
ATS97873,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS95417,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS73564,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99255,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS81900,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS95000,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS79973,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS95744,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS89838,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS88386,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS79600,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS84073,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS96624,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS86739,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99262,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS95541,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS96630,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS89763,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS98346,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS90868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS94257,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS85283,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS83339,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS96623,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS94998,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99263,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS79596,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS97866,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS97869,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS96629,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS77912,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS95542,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS94266,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS97868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS70183,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS80030,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS84068,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS81898,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS90870,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99258,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS82844,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS96622,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS94259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS95534,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99691,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99689,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99793,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99690,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99697,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99688,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99695,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99692,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99792,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99696,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS99694,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Oct,35175
ATS97873,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS95417,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99689,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99793,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS73564,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99255,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS81900,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS79973,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99690,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99697,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS89838,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS88386,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS79600,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS96624,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS90870,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS86739,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99262,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS95541,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS96630,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99688,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS89763,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS98346,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99695,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS90868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99692,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99792,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99258,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS94257,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS85283,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS83339,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS94998,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS94259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS79596,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS97869,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS77912,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS95542,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS94266,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99694,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS97868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS70183,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS84068,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS81898,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS95744,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS82844,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99696,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS95534,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS80030,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS84073,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS99263,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS96622,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100984,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100864,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100862,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100986,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100985,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100987,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100860,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100861,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100865,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100859,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100994,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100991,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS101017,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS101018,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100990,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS100993,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS101016,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS101015,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Nov,35175
ATS ID,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS97873,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100994,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100984,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS95417,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99689,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS87804,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99793,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100864,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS73564,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99256,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99690,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS77904,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS71184,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS95744,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS89838,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS88386,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101015,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99260,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS87782,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS84073,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS96624,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS76448,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100985,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100987,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS86739,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99262,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS95541,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS96630,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99688,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS89763,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS98346,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100860,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99692,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99792,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99258,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS94257,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS72994,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS84075,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS94998,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS94259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100990,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99263,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS94263,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS79596,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100861,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS95534,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100993,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
